Country;Continent;Subregion
Slovakia;Europe;Europe
Slovenia;Europe;Europe
South Africa;Africa;Africa
South Korea;Asia;Asia
Spain;Europe;Europe
Sri Lanka;Asia;South Asia
Sudan;Africa;Africa
Suriname;South America;South America
Syrian Arab Republic;Africa;Africa
Syria;Africa;Africa
Swaziland;Africa;Africa
Sweden;Europe;Europe
Switzerland;Europe;Europe
Taiwan;Asia;Asia
Tanzania;Africa;Africa
Thailand;Asia;Southeast Asia
Togo;Africa;Africa
Trinidad and Tobago;North America;Central America
Tunisia;Africa;Africa
Turkey;Asia;Asia
Turks and Caicos Islands;North America;Central America
Uganda;Africa;Africa
Ukraine;Europe;Europe
United Arab Emirates;Asia;Asia
United Kingdom;Europe;Europe
United States;North America;North America
Uruguay;South America;South America
Uzbekistan;Asia;Asia
Venezuela;South America;South America
Vietnam;Asia;Asia
Yemen;Asia;Asia
Zambia;Africa;Africa
Zimbabwe;Africa;Africa
Somalia;Africa;Africa
Tanzania, United Republic of;Africa;Africa
Kazakstan;Asia;Asia
Gabon;Africa;Africa
Myanmar;Asia;Asia
Saint Vincent and the Grenadin;Asia;Asia
French Polynesia;Oceania;Oceania
Guernsey;Europe;Europe
Northern Mariana Islands;Oceania;Oceania
Saint Vincent and Grenadin;Asia;Asia
Cote d'Ivoire;Africa;Africa
Cote D'Ivoire;Africa;Africa
Tajikistan;Asia;Asia
Seychelles;Africa;Africa
Mali;Africa;Africa
North Macedonia;Europe;Europe
Gambia;Africa;Africa
Lao PDR;Asia;South Asia
Kyrgyzstan;Asia;Asia
Lao People's Democratic Republ;Asia;Asia
Burundi;Africa;Africa
St. Kitts;North America;Central America
St. Lucia;Africa;Africa
South Sudan;Africa;Africa
Turkmenistan;Asia;Asia
Northern Cyprus;Europe;Europe
Burkina Faso;Africa;Africa
Rwanda;Africa;Africa
Samoa;Oceania;Oceania
Iran, Islamic Republic of;Asia;Asia
Guadeloupe;North America;Central America
